geoid,school_id,school,sat_g11,transit_min_median
17031030800,609726,BROOKS HS,1111.0,85.5
17031030800,609694,HANCOCK HS,1078.0,84.2
17031030800,610547,SOUTH SHORE INTL HS,901.0,67.8
17031030800,609693,WESTINGHOUSE HS,1005.0,71.8
17031030800,609755,YOUNG HS,1297.0,59.0
17031030800,610391,LINDBLOM HS,1046.0,82.1
17031030800,609751,KING HS,939.0,74.3
17031030900,609749,NORTHSIDE PREP HS,1303.0,25.6
17031030900,609720,LANE TECH HS,1256.0,33.9
17031030900,609680,PAYTON HS,1334.0,51.7
17031030900,609678,JONES HS,1276.0,52.6
17031030900,609726,BROOKS HS,1111.0,93.4
17031030900,610547,SOUTH SHORE INTL HS,901.0,76.4
17031030900,609693,WESTINGHOUSE HS,1005.0,65.6
17031030900,609755,YOUNG HS,1297.0,58.0
17031030900,609751,KING HS,939.0,85.1
17031030900,609694,HANCOCK HS,1078.0,90.9
17031030900,610391,LINDBLOM HS,1046.0,89.0
17031031000,609749,NORTHSIDE PREP HS,1303.0,27.9
17031031000,609720,LANE TECH HS,1256.0,28.9
17031031000,609678,JONES HS,1276.0,47.2
17031031000,609680,PAYTON HS,1334.0,45.1
17031031000,609726,BROOKS HS,1111.0,87.6
17031031000,609755,YOUNG HS,1297.0,52.2
17031031000,609693,WESTINGHOUSE HS,1005.0,65.0
17031031000,610391,LINDBLOM HS,1046.0,84.6
17031031000,610547,SOUTH SHORE INTL HS,901.0,72.9
17031031000,609694,HANCOCK HS,1078.0,87.5
17031031000,609751,KING HS,939.0,81.9
17031031100,609678,JONES HS,1276.0,42.8
17031031100,609680,PAYTON HS,1334.0,40.7
17031031100,609749,NORTHSIDE PREP HS,1303.0,29.1
17031031100,609720,LANE TECH HS,1256.0,33.4
17031031100,609726,BROOKS HS,1111.0,82.4
17031031100,609694,HANCOCK HS,1078.0,81.2
17031031100,610547,SOUTH SHORE INTL HS,901.0,67.5
17031031100,610391,LINDBLOM HS,1046.0,79.0
17031031100,609755,YOUNG HS,1297.0,54.9
17031031100,609693,WESTINGHOUSE HS,1005.0,70.3
17031031100,609751,KING HS,939.0,73.0
17031031200,609680,PAYTON HS,1334.0,36.4
17031031200,609678,JONES HS,1276.0,38.5
17031031200,609720,LANE TECH HS,1256.0,33.5
17031031200,609749,NORTHSIDE PREP HS,1303.0,32.7
17031031200,609726,BROOKS HS,1111.0,78.1
17031031200,609694,HANCOCK HS,1078.0,75.0
17031031200,610547,SOUTH SHORE INTL HS,901.0,63.2
17031031200,610391,LINDBLOM HS,1046.0,74.7
17031031200,609755,YOUNG HS,1297.0,59.6
17031031200,609693,WESTINGHOUSE HS,1005.0,70.3
17031031200,609751,KING HS,939.0,68.9
17031031300,609680,PAYTON HS,1334.0,42.1
17031031300,609678,JONES HS,1276.0,51.3
17031031300,609720,LANE TECH HS,1256.0,40.5
17031031300,609749,NORTHSIDE PREP HS,1303.0,40.4
17031031300,609694,HANCOCK HS,1078.0,83.0
17031031300,609726,BROOKS HS,1111.0,90.2
17031031300,610547,SOUTH SHORE INTL HS,901.0,65.3
17031031300,609693,WESTINGHOUSE HS,1005.0,73.2
17031031300,609755,YOUNG HS,1297.0,63.3
17031031300,610391,LINDBLOM HS,1046.0,88.0
17031031300,609751,KING HS,939.0,71.9
17031031400,609680,PAYTON HS,1334.0,49.3
17031031400,609678,JONES HS,1276.0,51.9
17031031400,609720,LANE TECH HS,1256.0,37.2
17031031400,609749,NORTHSIDE PREP HS,1303.0,53.8
17031031400,609694,HANCOCK HS,1078.0,83.1
17031031400,609726,BROOKS HS,1111.0,94.8
17031031400,609755,YOUNG HS,1297.0,64.8
17031031400,610547,SOUTH SHORE INTL HS,901.0,69.8
17031031400,609693,WESTINGHOUSE HS,1005.0,75.5
17031031400,610391,LINDBLOM HS,1046.0,92.4
17031031400,609751,KING HS,939.0,73.5
17031031501,609680,PAYTON HS,1334.0,42.1
17031031501,609720,LANE TECH HS,1256.0,35.1
17031031501,609678,JONES HS,1276.0,44.7
17031031501,609749,NORTHSIDE PREP HS,1303.0,41.7
17031031501,609726,BROOKS HS,1111.0,84.3
17031031501,609694,HANCOCK HS,1078.0,83.0
17031031501,610547,SOUTH SHORE INTL HS,901.0,67.6
17031031501,610391,LINDBLOM HS,1046.0,80.9
